iter	Passed	Remaining
0	0	84
1	1	78
2	2	78
3	2	69
4	3	68
5	4	68
6	5	68
7	5	67
8	6	66
9	7	65
10	8	67
11	9	67
12	9	66
13	10	66
14	11	65
15	12	64
16	13	64
17	13	63
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	27	50
35	27	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
